Unidad territorial, Variable, 2022
San Vicente, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 10645.0
Malloa, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 2708.0
Peralillo, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 1797.0
Palmilla, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 2285.0
San Fernando, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 10991.0
Pumanque, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 875.0
Placilla, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 1396.0
Santa Cruz, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 8212.0
Paredones, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 1605.0
Nancagua, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 2985.0
Chimbarongo, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 5139.0
Lolol, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 1771.0
Chépica, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 2244.0
Teno, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 5555.0
Vichuquén, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 1202.0
Rauco, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 2232.0
Romeral, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 3187.0
Hualañé, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 1814.0
Curicó, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 32076.0
Licantén, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 2120.0
Sagrada Familia, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 2253.0
Curepto, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 1505.0
Molina, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 5778.0
Río Claro, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 2210.0
San Rafael, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 1812.0
Constitución, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 7412.0
Pelarco, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 1125.0
Pencahue, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 1456.0
Talca, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 35669.0
Maule, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 4275.0
San Clemente, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 7524.0
Empedrado, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 400.0
San Javier, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 6741.0
Villa Alegre, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 2327.0
Colbún, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 3686.0
Chanco, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 1423.0
Yerbas Buenas, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 2581.0
Pelluhue, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 2586.0
Linares, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 16658.0
Longaví, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 5126.0
Cauquenes, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 8281.0
Retiro, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 2751.0
Cobquecura (Región del Ñuble), Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 1091.0
Parral, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 9881.0
