Unidad territorial, Variable, 2022
Romeral, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 1616.0
Hualañé, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 515.0
Curicó, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 44112.0
Licantén, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 771.0
Sagrada Familia, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 213.0
Curepto, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 289.0
Molina, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 5752.0
Río Claro, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 575.0
San Rafael, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 491.0
Constitución, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 7125.0
Pelarco, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 268.0
Pencahue, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 476.0
Talca, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 71048.0
Maule, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 4946.0
San Clemente, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 4732.0
Empedrado, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 9.0
San Javier, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 3545.0
Villa Alegre, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 1067.0
Colbún, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 1427.0
Chanco, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 276.0
Yerbas Buenas, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 704.0
Pelluhue, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 968.0
Linares, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 18815.0
Longaví, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 1702.0
Cauquenes, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 8338.0
Retiro, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 653.0
Cobquecura (Región del Ñuble), Cantidad de Conexiones de internet fijas, Diciembre de cada año, 401.0
Parral, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 7630.0
Quirihue (Región del Ñuble), Cantidad de Conexiones de internet fijas, Diciembre de cada año, 1026.0
Ñiquén (Región del Ñuble), Cantidad de Conexiones de internet fijas, Diciembre de cada año, 172.0
Ninhue (Región del Ñuble), Cantidad de Conexiones de internet fijas, Diciembre de cada año, 243.0
San Carlos (Región del Ñuble), Cantidad de Conexiones de internet fijas, Diciembre de cada año, 8040.0
Treguaco (Región del Ñuble), Cantidad de Conexiones de internet fijas, Diciembre de cada año, 264.0
Coelemu (Región del Ñuble), Cantidad de Conexiones de internet fijas, Diciembre de cada año, 2310.0
San Nicolás (Región del Ñuble), Cantidad de Conexiones de internet fijas, Diciembre de cada año, 415.0
Portezuelo (Región del Ñuble), Cantidad de Conexiones de internet fijas, Diciembre de cada año, 141.0
San Fabián (Región del Ñuble), Cantidad de Conexiones de internet fijas, Diciembre de cada año, 533.0
Chillán (Región del Ñuble), Cantidad de Conexiones de internet fijas, Diciembre de cada año, 54966.0
Tomé, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 14421.0
Coihueco (Región del Ñuble), Cantidad de Conexiones de internet fijas, Diciembre de cada año, 1185.0
Chillán Viejo (Región del Ñuble), Cantidad de Conexiones de internet fijas, Diciembre de cada año, 4872.0
Ránquil (Región del Ñuble), Cantidad de Conexiones de internet fijas, Diciembre de cada año, 303.0
Pinto (Región del Ñuble), Cantidad de Conexiones de internet fijas, Diciembre de cada año, 1299.0
Penco, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 12475.0
Bulnes (Región del Ñuble), Cantidad de Conexiones de internet fijas, Diciembre de cada año, 2812.0
Quillón (Región del Ñuble), Cantidad de Conexiones de internet fijas, Diciembre de cada año, 2303.0
Talcahuano, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 51909.0
Hualpén, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 18011.0
San Ignacio (Región del Ñuble), Cantidad de Conexiones de internet fijas, Diciembre de cada año, 863.0
Concepción, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 82486.0
Florida, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 771.0
San Pedro De La Paz, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 45816.0
El Carmen (Región del Ñuble), Cantidad de Conexiones de internet fijas, Diciembre de cada año, 357.0
Chiguayante, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 25825.0
Hualqui, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 5580.0
Pemuco (Región del Ñuble), Cantidad de Conexiones de internet fijas, Diciembre de cada año, 634.0
Coronel, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 35878.0
Cabrero, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 4845.0
Lota, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 11017.0
Yumbel, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 2679.0
Yungay (Región del Ñuble), Cantidad de Conexiones de internet fijas, Diciembre de cada año, 2590.0
Santa Juana, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 1771.0
Arauco, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 7411.0
San Rosendo, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 544.0
Laja, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 3922.0
Tucapel, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 2732.0
Antuco, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 80.0
Los Ángeles, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 44560.0
Quilleco, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 175.0
Curanilahue, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 7180.0
Nacimiento, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 5364.0
Negrete, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 198.0
Lebu, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 5443.0
Los Álamos, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 4313.0
Santa Bárbara, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 1588.0
Renaico, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 278.0
Quilaco, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 395.0
Mulchén, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 4801.0
Angol, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 13204.0
Cañete, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 4823.0
Alto Biobío, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 131.0
Collipulli, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 3619.0
Los Sauces, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 897.0
Contulmo, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 992.0
Purén, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 1464.0
Ercilla, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 768.0
Lumaco, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 190.0
