Id_comuna;Id_comisaria;Nombre_comisaria;Direccion;Fono;Tipo;;;;;
7306;134;TENENCIA ROMERAL;AVENIDA RAMoN FREIRE N 951;752275135;TENENCIA;;;;;
7307;135;TENENCIA SAGRADA FAMILIA;ESPERANZA N 74;752275166;TENENCIA;;;;;
7308;136;3A. COMISARiA DE TENO;AVENIDA. COMALLE N 110;752275112;COMISARIA;;;;;
7309;137;RETEN VICHUQUEN;ARTURO PRAT S/N;752275104;RETEN;;;;;
7401;138;1A. COMISARiA LINARES;AVENIDA. VALENTIN LETELIER N 376;732673029;COMISARIA;;;;;
7402;139;TENENCIA COLBUN;BERNARDO OHIGGINS N 404;732673050;TENENCIA;;;;;
7403;140;SUBCOMISARiA LONGAVI;UNO SUR N 410;732673195;SUBCOMISARIA;;;;;
7404;141;3A. COMISARiA PARRAL;URRUTIA N 560;732673096;COMISARIA;;;;;
7405;142;TENENCIA RETIRO;PRESIDENTE ERRAZURIZ N 266;732673121;TENENCIA;;;;;
7406;143;5A. COMISARiA DE SAN JAVIER;LONCOMILLA N 2488;732673156;COMISARIA;;;;;
7407;144;SUBCOMISARiA VILLA ALEGRE;ABATE MOLINA N 925;732673181;SUBCOMISARIA;;;;;
7408;145;RETEN YERBAS BUENAS;CENTENARIO N 51;732673071;RETEN;;;;;
16101;146;PREFECTURA UBLE N 27;VEGAS DE SALDIAS N 368;422842000;PREFECTURA;;;;;
16101;147;TENENCIA CHILLAN ORIENTE;AVDA NUEVA ORIENTE 612, CHILLAN;422842095;TENENCIA;;;;;
16102;148;3A. COMISARiA DE BULNES;CALLE ANIBAL PINTO N 461;4222842116;COMISARIA;;;;;
16103;149;6A COMISARIA DE CHILLAN VIEJO;AVENIDA BERNARDO OHIGGINS N 2804;422842204;COMISARIA;;;;;
16104;150;TENENCIA EL CARMEN;ESMERALDA N 2;422842166;TENENCIA;;;;;
16105;151;TENENCIA PEMUCO;MIRAFLORES N 696;422842163;TENENCIA;;;;;
